id,price_doc
30474,6452544.375
30475,7111988.0
30476,4755000.0
30477,3057554.0
30478,6087354.625
30479,9397190.625
30480,4531974.0
30481,4327451.75
30482,6733498.75
30483,6974674.875
30484,6187288.5
30485,6047203.75
30486,6516773.375
30487,5044297.5
30488,4955757.25
30489,5498628.75
30490,14688781.25
30491,7687500.0
30492,6350126.875
30493,8631250.0
30494,7217352.375
30495,8118750.0
30496,4982348.75
30497,6096684.375
30498,5238243.75
30499,6509375.0
30500,12355369.25
30501,8065000.0
30502,3643214.5
30503,5543750.0
30504,8400000.0
30505,10552434.875
30506,3057894.375
30507,5176929.25
30508,5820803.375
30509,8356250.0
30510,10059521.0
30511,8393750.0
30512,7189843.25
30513,4539406.75
30514,3162604.5
30515,10018397.25
30516,6125992.25
30517,9992159.0
30518,10691040.5
30519,7418750.0
30520,9702259.25
30521,7458750.0
30522,5985492.75
30523,9056250.0
30524,9799990.125
30525,29684000.0
30526,5821821.5
30527,4586340.0
30528,7800000.0
30529,6818750.0
30530,8500000.0
30531,7612500.0
30532,4382590.5
30533,8675000.0
30534,6955100.625
30535,10276506.5
30536,5196482.375
30537,7050000.0
30538,7316250.0
30539,7064867.5
30540,10235382.75
30541,10048750.0
30542,2158080.25
30543,5274022.875
30544,5568750.0
30545,5468750.0
30546,4576252.5
30547,10402808.75
30548,4859627.375
30549,6146359.875
30550,5981125.0
30551,5972334.375
30552,2461445.75
30553,11043750.0
30554,9900000.0
30555,6468979.0
30556,9667260.125
30557,5075000.0
30558,8493938.75
30559,6993799.5
30560,16346225.0
30561,6650000.0
30562,11477486.875
30563,3516427.0
30564,6425000.0
30565,6500102.875
30566,5940092.5
30567,2033839.25
30568,10146479.125
30569,14780000.0
30570,10462500.0
30571,9930526.25
30572,5725854.5
30573,6050015.5
30574,6637500.0
30575,18356250.0
30576,5044297.5
30577,5025000.0
30578,2915503.75
30579,7512500.0
30580,5608171.25
30581,7193750.0
30582,11142813.0
30583,7544524.375
30584,5385655.875
30585,6472784.625
30586,9099512.75
30587,5530682.5
30588,7698750.0
30589,6506250.0
30590,8100000.0
30591,6593750.0
30592,8569375.0
30593,5351465.0
30594,5527240.625
30595,11599445.0
30596,5896791.75
30597,6109956.75
30598,9784585.375
30599,6624770.125
30600,5269052.5
30601,6368750.0
30602,2395889.5
30603,12344151.625
30604,4436250.0
30605,6157153.5
30606,10893625.0
30607,8110625.0
30608,6899581.875
30609,5498628.75
30610,3587547.875
30611,5820803.375
30612,7737500.0
30613,9795197.75
30614,16413182.0
30615,5767500.0
30616,6096435.25
30617,6246250.0
30618,5718750.0
30619,4439040.375
30620,2808251.0
30621,7806250.0
30622,15368750.0
30623,7106250.0
30624,4382590.5
30625,5985492.75
30626,4756250.0
30627,8212500.0
30628,6109956.75
30629,5597500.0
30630,4206329.5
30631,6921641.875
30632,3048654.625
30633,5381250.0
30634,7338875.0
30635,10089703.875
30636,7046250.0
30637,9916520.125
30638,7837500.0
30639,12366536.125
30640,4440237.5
30641,6915810.875
30642,10581250.0
30643,7333595.0
30644,9784585.375
30645,7046250.0
30646,6350000.0
30647,6356414.25
30648,18481258.375
30649,2918118.375
30650,6856250.0
30651,3057894.375
30652,4443236.125
30653,9676762.5
30654,5097849.0
30655,26064067.25
30656,3837537.5
30657,5330000.0
30658,20658816.5
30659,6031630.25
30660,8746875.0
30661,9830450.125
30662,8180799.625
30663,6543750.0
30664,8050000.0
30665,5498628.75
30666,2860947.125
30667,7066629.75
30668,5727380.0
30669,6535147.5
30670,3411504.625
30671,7585953.75
30672,26064067.25
30673,5675000.0
30674,9550000.0
30675,2158080.25
30676,5968750.0
30677,8575000.0
30678,15321220.625
30679,5155000.0
30680,4484011.25
30681,3591208.0
30682,11156250.0
30683,9831814.125
30684,7988702.0
30685,7125000.0
30686,7870101.5
30687,6172875.0
30688,6146359.875
30689,12748750.0
30690,18481258.375
30691,6909375.0
30692,8425000.0
30693,16447435.875
30694,6732500.0
30695,8104361.875
30696,7922500.0
30697,9353500.0
30698,5835625.0
30699,7287500.0
30700,5620988.25
30701,9784585.375
30702,5604375.0
30703,4239899.75
30704,11614323.75
30705,7716375.0
30706,18481258.375
30707,3200702.375
30708,8981250.0
30709,6245524.625
30710,6543750.0
30711,5260606.625
30712,5087405.375
30713,7781250.0
30714,8604850.0
30715,4464962.5
30716,9724765.75
30717,7837500.0
30718,6548750.0
30719,9676762.5
30720,5477500.0
30721,15870968.5
30722,6954491.625
30723,4250925.625
30724,9976020.625
30725,7440000.0
30726,6835000.0
30727,10059521.0
30728,9969901.5
30729,3193863.625
30730,7450000.0
30731,6246915.125
30732,7625000.0
30733,6134375.0
30734,8248874.625
30735,6227543.75
30736,5094817.75
30737,6718750.0
30738,8530000.0
30739,2931378.0
30740,6751314.375
30741,9676762.5
30742,4530676.125
30743,6136090.75
30744,8180799.625
30745,6925000.0
30746,6227543.75
30747,13774723.125
30748,15084981.125
30749,6916250.0
30750,6470451.0
30751,5302276.875
30752,9676762.5
30753,10747041.375
30754,6874750.0
30755,3355870.125
30756,5895510.75
30757,5475000.0
30758,7521250.0
30759,7065000.0
30760,3295999.75
30761,10831250.0
30762,6169295.25
30763,11614323.75
30764,5978922.5
30765,5710000.0
30766,4380312.5
30767,11618750.0
30768,5900000.0
30769,7531250.0
30770,5498628.75
30771,3643214.5
30772,10025000.0
30773,6634423.75
30774,5442208.0
30775,8831250.0
30776,6231250.0
30777,5360485.0
30778,8928875.0
30779,9300900.0
30780,8937500.0
30781,6245524.625
30782,6078991.875
30783,4915326.25
30784,4665521.5
30785,8268750.0
30786,4531974.0
30787,6541746.375
30788,5196482.375
30789,7062500.0
30790,7798750.0
30791,9976020.625
30792,8248874.625
30793,12512500.0
30794,15992736.5
30795,9224618.75
30796,6752500.0
30797,12142450.0
30798,2762261.5
30799,7887500.0
30800,6106250.0
30801,6531917.5
30802,7225000.0
30803,2868557.375
30804,6435675.625
30805,17031250.0
30806,8248874.625
30807,6647500.0
30808,13056940.0
30809,5260606.625
30810,7610625.0
30811,4382590.5
30812,7287500.0
30813,5143750.0
30814,4464962.5
30815,5165599.625
30816,6925000.0
30817,2461445.75
30818,7450000.0
30819,8709097.5
30820,5712500.0
30821,6425000.0
30822,15687500.0
30823,8104361.875
30824,4408645.0
30825,4363222.125
30826,7018750.0
30827,5031654.625
30828,9312500.0
30829,5712500.0
30830,9502423.25
30831,8696411.875
30832,5918750.0
30833,7150000.0
30834,4214582.5
30835,4848750.0
30836,4382590.5
30837,7550027.375
30838,5106250.0
30839,8610000.0
30840,7498750.0
30841,8413750.0
30842,7336488.625
30843,6368750.0
30844,5527240.625
30845,14796016.125
30846,5772463.375
30847,4506250.0
30848,8285869.25
30849,6199830.25
30850,3934283.75
30851,7066629.75
30852,6957494.625
30853,4382851.125
30854,8020000.0
30855,9463589.0
30856,6523750.0
30857,2719644.125
30858,4539406.75
30859,5387598.75
30860,4943750.0
30861,9699781.875
30862,6182500.0
30863,6018644.0
30864,9800000.0
30865,7000000.0
30866,5000873.375
30867,6546250.0
30868,6720000.0
30869,8687500.0
30870,4666518.75
30871,8364048.875
30872,3257798.375
30873,6761196.875
30874,5450000.0
30875,7925000.0
30876,6031630.25
30877,11112500.0
30878,6116531.25
30879,4932298.25
30880,6531917.5
30881,2033839.25
30882,20658816.5
30883,5943750.0
30884,6116531.25
30885,7018750.0
30886,6492508.75
30887,4030734.625
30888,4756724.875
30889,6128125.0
30890,6518750.0
30891,4380312.5
30892,4380312.5
30893,4539406.75
30894,6187500.0
